occ = 0.178040	 sto = 0.200000	 rate = 4.598375
occ = 0.177978	 sto = 0.500000	 rate = 5.218000
occ = 0.180033	 sto = 0.200000	 rate = 4.666000
occ = 0.180036	 sto = 0.500000	 rate = 4.640750
occ = 0.182025	 sto = 0.200000	 rate = 4.753750
occ = 0.182066	 sto = 0.500000	 rate = 4.341250
occ = 0.184043	 sto = 0.200000	 rate = 4.566500
occ = 0.184075	 sto = 0.500000	 rate = 4.245750
occ = 0.186045	 sto = 0.200000	 rate = 4.548250
occ = 0.186013	 sto = 0.500000	 rate = 4.874250
occ = 0.188032	 sto = 0.200000	 rate = 4.682625
occ = 0.188048	 sto = 0.500000	 rate = 4.517875
occ = 0.190010	 sto = 0.200000	 rate = 4.899875
occ = 0.189992	 sto = 0.500000	 rate = 5.079500
occ = 0.192058	 sto = 0.200000	 rate = 4.424250
occ = 0.192015	 sto = 0.500000	 rate = 4.847125
occ = 0.194023	 sto = 0.200000	 rate = 4.768750
occ = 0.194008	 sto = 0.500000	 rate = 4.919750
occ = 0.196064	 sto = 0.200000	 rate = 4.359250
occ = 0.196048	 sto = 0.500000	 rate = 4.524250
occ = 0.198012	 sto = 0.200000	 rate = 4.880625
occ = 0.198110	 sto = 0.500000	 rate = 3.901875
occ = 0.200040	 sto = 0.200000	 rate = 4.594875
occ = 0.200098	 sto = 0.500000	 rate = 4.016625
occ = 0.202035	 sto = 0.200000	 rate = 4.653500
occ = 0.201995	 sto = 0.500000	 rate = 5.051500
occ = 0.204047	 sto = 0.200000	 rate = 4.531000
occ = 0.204075	 sto = 0.500000	 rate = 4.255625
occ = 0.206058	 sto = 0.200000	 rate = 4.422500
occ = 0.206068	 sto = 0.500000	 rate = 4.324750
occ = 0.208061	 sto = 0.200000	 rate = 4.392875
occ = 0.208032	 sto = 0.500000	 rate = 4.674250
occ = 0.210023	 sto = 0.200000	 rate = 4.771875
occ = 0.210025	 sto = 0.500000	 rate = 4.740625
occ = 0.212031	 sto = 0.200000	 rate = 4.689125
occ = 0.212078	 sto = 0.500000	 rate = 4.215875
occ = 0.214004	 sto = 0.200000	 rate = 4.952750
occ = 0.214007	 sto = 0.500000	 rate = 4.934125
occ = 0.216032	 sto = 0.200000	 rate = 4.672750
occ = 0.216024	 sto = 0.500000	 rate = 4.756875
occ = 0.218023	 sto = 0.200000	 rate = 4.763625
occ = 0.218117	 sto = 0.500000	 rate = 3.831375
occ = 0.220042	 sto = 0.200000	 rate = 4.583000
occ = 0.220030	 sto = 0.500000	 rate = 4.693375
occ = 0.222027	 sto = 0.200000	 rate = 4.729250
occ = 0.222131	 sto = 0.500000	 rate = 3.685250
occ = 0.224043	 sto = 0.200000	 rate = 4.571625
occ = 0.224041	 sto = 0.500000	 rate = 4.585500
occ = 0.226045	 sto = 0.200000	 rate = 4.554875
occ = 0.226105	 sto = 0.500000	 rate = 3.957500
occ = 0.228028	 sto = 0.200000	 rate = 4.724750
occ = 0.228050	 sto = 0.500000	 rate = 4.491500
occ = 0.230056	 sto = 0.200000	 rate = 4.433125
occ = 0.230106	 sto = 0.500000	 rate = 3.935875
occ = 0.232045	 sto = 0.200000	 rate = 4.549625
occ = 0.231978	 sto = 0.500000	 rate = 5.219750
occ = 0.234047	 sto = 0.200000	 rate = 4.530375
occ = 0.234014	 sto = 0.500000	 rate = 4.850750
occ = 0.236026	 sto = 0.200000	 rate = 4.743875
occ = 0.236046	 sto = 0.500000	 rate = 4.536000
occ = 0.238038	 sto = 0.200000	 rate = 4.607625
occ = 0.238001	 sto = 0.500000	 rate = 4.988250
occ = 0.240026	 sto = 0.200000	 rate = 4.731500
occ = 0.240023	 sto = 0.500000	 rate = 4.770500
occ = 0.242016	 sto = 0.200000	 rate = 4.841625
occ = 0.242096	 sto = 0.500000	 rate = 4.039875
occ = 0.244037	 sto = 0.200000	 rate = 4.626875
occ = 0.244113	 sto = 0.500000	 rate = 3.865000
occ = 0.246010	 sto = 0.200000	 rate = 4.898125
occ = 0.246050	 sto = 0.500000	 rate = 4.492625
occ = 0.248030	 sto = 0.200000	 rate = 4.706750
occ = 0.248012	 sto = 0.500000	 rate = 4.888750
occ = 0.250039	 sto = 0.200000	 rate = 4.610875
occ = 0.250082	 sto = 0.500000	 rate = 4.180375
occ = 0.252057	 sto = 0.200000	 rate = 4.426375
occ = 0.252022	 sto = 0.500000	 rate = 4.771875
occ = 0.254082	 sto = 0.200000	 rate = 4.182125
occ = 0.254092	 sto = 0.500000	 rate = 4.090500
occ = 0.256033	 sto = 0.200000	 rate = 4.666625
occ = 0.256083	 sto = 0.500000	 rate = 4.169000
occ = 0.258051	 sto = 0.200000	 rate = 4.489125
occ = 0.258027	 sto = 0.500000	 rate = 4.729250
occ = 0.260047	 sto = 0.200000	 rate = 4.527375
occ = 0.260097	 sto = 0.500000	 rate = 4.035500
occ = 0.262054	 sto = 0.200000	 rate = 4.471000
occ = 0.262043	 sto = 0.500000	 rate = 4.576125
occ = 0.264041	 sto = 0.200000	 rate = 4.582750
occ = 0.264014	 sto = 0.500000	 rate = 4.867875
occ = 0.266035	 sto = 0.200000	 rate = 4.648000
occ = 0.266051	 sto = 0.500000	 rate = 4.485875
occ = 0.268041	 sto = 0.200000	 rate = 4.594375
occ = 0.268045	 sto = 0.500000	 rate = 4.546250
occ = 0.270016	 sto = 0.200000	 rate = 4.851375
occ = 0.270041	 sto = 0.500000	 rate = 4.594000
occ = 0.272017	 sto = 0.200000	 rate = 4.821750
occ = 0.272038	 sto = 0.500000	 rate = 4.624125
occ = 0.274053	 sto = 0.200000	 rate = 4.469125
occ = 0.274059	 sto = 0.500000	 rate = 4.410375
occ = 0.276047	 sto = 0.200000	 rate = 4.527875
occ = 0.276060	 sto = 0.500000	 rate = 4.392375
occ = 0.278038	 sto = 0.200000	 rate = 4.621875
occ = 0.278063	 sto = 0.500000	 rate = 4.364250
occ = 0.280062	 sto = 0.200000	 rate = 4.385375
occ = 0.280004	 sto = 0.500000	 rate = 4.958875
occ = 0.282084	 sto = 0.200000	 rate = 4.162875
occ = 0.282034	 sto = 0.500000	 rate = 4.663125
occ = 0.284076	 sto = 0.200000	 rate = 4.253500
occ = 0.284026	 sto = 0.500000	 rate = 4.750875
occ = 0.286044	 sto = 0.200000	 rate = 4.558125
occ = 0.286046	 sto = 0.500000	 rate = 4.531250
occ = 0.288041	 sto = 0.200000	 rate = 4.577625
occ = 0.287973	 sto = 0.500000	 rate = 5.260500
occ = 0.290061	 sto = 0.200000	 rate = 4.394750
occ = 0.290089	 sto = 0.500000	 rate = 4.112750
occ = 0.292039	 sto = 0.200000	 rate = 4.610000
occ = 0.292066	 sto = 0.500000	 rate = 4.335875
