N = 745	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.761246	MeanO1 = 0.075803	MeanV2 = 4.769378	MeanO2 = 0.073200	 rate = 0.000000
N = 745	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.771508	MeanO1 = 0.074365	MeanV2 = 4.767896	MeanO2 = 0.074635	 rate = 0.004250
N = 765	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.746872	MeanO1 = 0.080402	MeanV2 = 4.771249	MeanO2 = 0.072601	 rate = 0.000000
N = 765	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.764503	MeanO1 = 0.076397	MeanV2 = 4.764276	MeanO2 = 0.076600	 rate = 0.005250
N = 785	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.758754	MeanO1 = 0.076599	MeanV2 = 4.746872	MeanO2 = 0.080402	 rate = 0.000000
N = 785	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.754741	MeanO1 = 0.078380	MeanV2 = 4.752884	MeanO2 = 0.078621	 rate = 0.001750
N = 805	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.743759	MeanO1 = 0.081400	MeanV2 = 4.749372	MeanO2 = 0.079599	 rate = 0.000000
N = 805	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.746751	MeanO1 = 0.080598	MeanV2 = 4.748122	MeanO2 = 0.080402	 rate = 0.000250
N = 825	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.739374	MeanO1 = 0.082797	MeanV2 = 4.741241	MeanO2 = 0.082203	 rate = 0.000000
N = 825	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.747188	MeanO1 = 0.082601	MeanV2 = 4.748102	MeanO2 = 0.082398	 rate = 0.004375
N = 845	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.734996	MeanO1 = 0.084199	MeanV2 = 4.733129	MeanO2 = 0.084800	 rate = 0.000000
N = 845	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.738135	MeanO1 = 0.084597	MeanV2 = 4.739535	MeanO2 = 0.084401	 rate = 0.002250
N = 865	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.730003	MeanO1 = 0.085796	MeanV2 = 4.725628	MeanO2 = 0.087198	 rate = 0.000000
N = 865	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.731225	MeanO1 = 0.086398	MeanV2 = 4.731951	MeanO2 = 0.086599	 rate = 0.003000
N = 885	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.736257	MeanO1 = 0.083801	MeanV2 = 4.706874	MeanO2 = 0.093201	 rate = 0.000000
N = 885	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.721874	MeanO1 = 0.088401	MeanV2 = 4.721259	MeanO2 = 0.088595	 rate = 0.000000
N = 905	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.701245	MeanO1 = 0.095001	MeanV2 = 4.729379	MeanO2 = 0.085999	 rate = 0.000000
N = 905	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.720953	MeanO1 = 0.090328	MeanV2 = 4.715637	MeanO2 = 0.090671	 rate = 0.004250
N = 925	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.713130	MeanO1 = 0.091197	MeanV2 = 4.704997	MeanO2 = 0.093803	 rate = 0.000000
N = 925	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.710008	MeanO1 = 0.092382	MeanV2 = 4.708145	MeanO2 = 0.092622	 rate = 0.000125
N = 945	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.703747	MeanO1 = 0.094200	MeanV2 = 4.701876	MeanO2 = 0.094797	 rate = 0.000000
N = 945	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.702751	MeanO1 = 0.094603	MeanV2 = 4.703135	MeanO2 = 0.094399	 rate = 0.000125
N = 965	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.704997	MeanO1 = 0.093803	MeanV2 = 4.688126	MeanO2 = 0.099203	 rate = 0.000000
